ID_Number ,plot_no,treatment,plot_rep,matrix_no,species_code,species,root_diam_0,root_diam_30,root_tip_no,nodules,nodule_count,nodule_wt,fine_root_weight,AG_wt,BG_wt,Course_root_wt,Total_wt,comments,ratio,test
150,h2_1,2m,1,a6,ni,SN,9.03,6.59,13,TRUE,2,0.023,2.03,7.49,18.18,16.15,25.67,,0.411991199,0
177,h2_1,2m,1,f3,ni,SN,7.83,2.05,15,FALSE,0,0,0.994,5,10.484,9.49,15.484,,0.476917207,0
204,h2_2,2m,2,b6,ni,SN,20.94,18.4,11,FALSE,0,0,0.031,87.93,78.011,77.98,165.941,,1.127148735,0
255,h2_3,2m,3,c3,ni,SN,14.77,9.45,14,TRUE,36,0.479,1.567,50.92,29.977,28.41,80.897,,1.698635621,0
284,h2_3,2m,3,h2,ni,SN,10.37,2.44,9,TRUE,0,0,1.11,12.7,20.43,19.32,33.13,,0.621634851,0
301,h3_1,3m,1,c1,ni,SN,14.94,7.68,16,TRUE,1,0.003,1.811,38.51,60.671,58.86,99.181,,0.634734882,0
316,h3_1,3m,1,e4,ni,SN,6.31,2.05,5,TRUE,1,0.018,0.607,55,51.407,50.8,106.407,,1.069893205,0
364,h3_2,3m,2,e4,ni,SN,14.83,7.09,13,FALSE,0,0,0.437,80.11,37.837,37.4,117.947,,2.117239739,0
374,h3_2,3m,2,g2,ni,SN,16.86,10.81,18,TRUE,52,0.659,0.91,63.82,51.6,50.69,115.42,,1.236821705,0
377,h3_2,3m,2,g5,ni,SN,15.23,5.27,8,TRUE,53,1.393,0.53,29.69,16.1,15.57,45.79,,1.844099379,0
387,h3_3,3m,3,a3,ni,SN,15.27,7.28,9,TRUE,19,0.232,1.538,56.7,65.998,64.46,122.698,,0.859116943,0
418,h3_3,3m,3,f4,ni,SN,15.83,6.95,9,TRUE,87,0.507,3.062,112.58,66.222,63.16,178.802,,1.700039262,0
422,h3_3,3m,3,g2,ni,SN,25.73,8.73,19,TRUE,5,0.078,2.355,20.93,82.275,79.92,103.205,,0.254390763,0
435,h4_1,4m,1,a3,ni,SN,15.37,7.32,17,TRUE,23,0.107,1.506,64.36,55.266,53.76,119.626,,1.164549633,0
438,h4_1,4m,1,a6,ni,SN,14.07,4.1,9,TRUE,4,0.073,1.019,35.01,32.519,31.5,67.529,,1.076601372,0
458,h4_1,4m,1,e2,ni,SN,20.32,12.43,12,TRUE,5,0.041,2.192,96.37,84.062,81.87,180.432,,1.146415741,0
477,h4_1,4m,1,h3,ni,SN,7.54,2.9,1,FALSE,0,0,0.965,4.44,8.525,7.56,12.965,,0.520821114,0
483,h4_2,4m,2,a3,ni,SN,9.02,5.58,10,FALSE,0,0,0.8,12,14.4,13.6,26.4,,0.833333333,0
493,h4_2,4m,2,c1,ni,SN,8.26,3.94,7,TRUE,34,0.089,0.348,8.64,10.318,9.97,18.958,,0.837371584,0
513,h4_2,4m,2,f3,ni,SN,18.57,15.53,10,TRUE,25,0.057,2.631,91.22,61.081,58.45,152.301,,1.493426761,0
516,h4_2,4m,2,f6,ni,SN,0,0,0,FALSE,0,0,0.246,16.14,3.636,3.39,19.776,why such a very high AG weight if no roots?,4.438943894,1
539,h4_3,4m,3,b5,ni,SN,11.63,4.62,12,TRUE,7,1.538,1.641,20.06,20.831,19.19,40.891,,0.962987855,0
548,h4_3,4m,3,d2,ni,SN,10.37,5.23,15,TRUE,2,0.001,0.86,12.06,15.38,14.52,27.44,,0.784135241,0
575,h4_3,4m,3,h5,ni,SN,10.09,6.21,14,TRUE,8,0.011,0.735,13.89,16.465,15.73,30.355,,0.843607653,0
577,h4_3,4m,3,i2,ni,SN,7.78,4.6,16,TRUE,21,0.176,1.631,8.06,10.561,8.93,18.621,,0.763185304,0
587,h5_1,C,1,b1,ni,SN,12.9,6.24,45,FALSE,0,0,3.773,45.9,74.083,70.31,119.983,,0.619575341,0
595,h5_1,C,1,c3,ni,SN,10.49,6.81,4,FALSE,0,0,3.606,19.99,25.566,21.96,45.556,,0.781897833,0
620,h5_1,C,1,g4,ni,SN,2.87,0.78,3,FALSE,0,0,3.018,38.84,84.328,81.31,123.168,,0.460582487,0
626,h5_1,C,1,h4,ni,SN,12.18,15.17,19,FALSE,0,0,2.066,20.28,20.186,18.12,40.466,,1.004656693,0
642,h5_2,C,2,c2,ni,SN,19.56,13.13,30,FALSE,0,0,6.056,190.76,102.826,96.77,293.586,,1.855172816,0
653,h5_2,C,2,e1,ni,SN,8.31,5.61,11,FALSE,0,0,3.06,15.96,25.51,22.45,41.47,,0.625637005,0
667,h5_2,C,2,g3,ni,SN,12.07,9.83,16,FALSE,0,0,2.162,40.66,33.172,31.01,73.832,,1.225732546,0
670,h5_2,C,2,g6,ni,SN,17.56,10.52,16,FALSE,0,0,0.792,121.73,86.722,85.93,208.452,,1.403680727,0
678,h5_3,C,3,a2,ni,SN,17.71,11.13,15,TRUE,6,0.153,1.612,98.9,84.012,82.4,182.912,,1.177212779,0
717,h5_3,C,3,g5,ni,SN,14.87,7.34,11,TRUE,6,0.13,0.978,64.48,58.068,57.09,122.548,,1.110422264,0
719,h5_3,C,3,h1,ni,SN,17.69,11.37,5,TRUE,2,0.113,7.137,116.68,82.347,75.21,199.027,,1.416930793,0
172,h2_1,2m,1,e4,ex,VEX,6.69,5.42,4,TRUE,28,0.031,0.975,8.71,9.115,8.14,17.825,,0.955567745,0
214,h2_2,2m,2,d4,ex,VEX,14.23,6.1,8,FALSE,0,0,0.046,30.4,31.196,31.15,61.596,,0.974483908,0
253,h2_3,2m,3,c1,ex,VEX,7.13,2.58,14,TRUE,3,0.004,0.908,8.79,11.178,10.27,19.968,,0.786366076,0
278,h2_3,2m,3,g2,ex,VEX,8.32,7.59,7,TRUE,3,0.001,0.715,8.76,10.975,10.26,19.735,,0.798177677,0
288,h2_3,2m,3,h6,ex,VEX,10.19,8.97,7,FALSE,0,0,0.977,79.58,42.367,41.39,121.947,,1.878348715,0
308,h3_1,3m,1,d2,ex,VEX,7.02,3.29,9,TRUE,5,0.043,1.946,3.59,23.116,21.17,26.706,,0.155303686,0
317,h3_1,3m,1,e5,ex,VEX,6.58,3.9,1,FALSE,0,0,0,6.67,21.51,21.51,28.18,,0.310088331,0
331,h3_1,3m,1,h1,ex,VEX,6.93,4.88,9,TRUE,35,0.062,0.29,2.6,2.19,1.9,4.79,,1.187214612,0
340,h3_2,3m,2,a4,ex,VEX,17.03,14.85,16,TRUE,76,0.345,2.439,67.51,51.249,48.81,118.759,,1.317293996,0
354,h3_2,3m,2,c6,ex,VEX,6.08,3.1,5,TRUE,6,0.085,0.587,3.01,6.487,5.9,9.497,,0.464004933,0
376,h3_2,3m,2,g4,ex,VEX,13.09,9.01,5,TRUE,56,0.491,1.2,48.11,32.5,31.3,80.61,,1.480307692,0
379,h3_2,3m,2,h1,ex,VEX,13.79,6.7,16,TRUE,28,0.122,0.725,24.66,27.795,27.07,52.455,,0.88720993,0
394,h3_3,3m,3,b4,ex,VEX,14.9,9.67,20,TRUE,1,0.006,1.02,1.48,4.41,3.39,5.89,,0.335600907,0
412,h3_3,3m,3,e4,ex,VEX,9.1,3.13,8,FALSE,0,0,0.643,7.36,18.403,17.76,25.763,,0.399934793,0
455,h4_1,4m,1,d5,ex,VEX,10.43,3.85,6,TRUE,28,0.131,0.74,12.24,12.5,11.76,24.74,,0.9792,0
460,h4_1,4m,1,e4,ex,VEX,7.57,3.08,9,TRUE,23,0.212,1.527,9.55,14.537,13.01,24.087,,0.656944349,0
468,h4_1,4m,1,f6,ex,VEX,10.23,5.82,5,TRUE,29,0.074,0.96,34.04,35.79,34.83,69.83,,0.95110366,0
489,h4_2,4m,2,b3,ex,VEX,8.06,3.61,15,TRUE,2,0.008,0.497,8.37,13.837,13.34,22.207,,0.604899906,0
497,h4_2,4m,2,c5,ex,VEX,8.49,2.44,4,TRUE,57,na,0.328,11.44,14.468,14.14,25.908,,0.790710534,0
523,h4_2,4m,2,h1,ex,VEX,9.2,5.33,9,TRUE,48,0.198,0.512,15.74,18.592,18.08,34.332,,0.846600688,0
534,h4_3,4m,3,a6,ex,VEX,7.62,4.82,8,FALSE,0,0,1.21,5.73,6.82,5.61,12.55,,0.840175953,0
542,h4_3,4m,3,c2,ex,VEX,13.47,7.58,10,FALSE,0,0,1.274,35.97,33.074,31.8,69.044,,1.087561226,0
544,h4_3,4m,3,c4,ex,VEX,10.7,5.9,11,TRUE,10,0.073,0.34,19.67,19.43,19.09,39.1,,1.012352033,0
561,h4_3,4m,3,f3,ex,VEX,13.73,7.77,24,FALSE,0,0,0.231,30.77,33.901,33.67,64.671,,0.907642842,0
594,h5_1,C,1,c2,ex,VEX,5.87,4.22,20,FALSE,0,0,3.84,8.34,15.29,11.45,23.63,,0.545454545,0
607,h5_1,C,1,e3,ex,VEX,6.41,4.71,21,TRUE,4,0.001,4.066,17.88,27.266,23.2,45.146,,0.655761755,0
611,h5_1,C,1,f1,ex,VEX,3.78,2.29,21,TRUE,15,0.005,0.596,3.48,4.146,3.55,7.626,,0.839363242,0
623,h5_1,C,1,h1,ex,VEX,0,0,0,FALSE,0,0,3.063,8.23,13.023,9.96,21.253,,0.631958842,0
632,h5_2,C,2,a4,ex,VEX,8.31,3.2,20,TRUE,1,0.001,4.056,17.24,24.556,20.5,41.796,,0.702068741,0
649,h5_2,C,2,d3,ex,VEX,8.98,8.08,14,TRUE,4,0.06,0.589,33.76,22.049,21.46,55.809,,1.531135199,0
657,h5_2,C,2,e5,ex,VEX,7.18,1.99,14,TRUE,1,0.001,2.456,17.88,15.206,12.75,33.086,,1.175851638,0
673,h5_2,C,2,h3,ex,VEX,6.41,4.5,12,FALSE,0,0,1.392,12.45,14.052,12.66,26.502,,0.885994876,0
680,h5_3,C,3,a4,ex,VEX,18.08,4.78,16,FALSE,0,0,3.349,80.58,64.469,61.12,145.049,,1.249903054,0
702,h5_3,C,3,e2,ex,VEX,15.13,8.14,8,TRUE,30,0.026,0.637,68.9,58.157,57.52,127.057,,1.184724109,0
716,h5_3,C,3,g4,ex,VEX,17.31,14.65,27,TRUE,2,0.001,0.864,160.43,85.664,84.8,246.094,,1.872782032,0
173,h2_1,2m,1,e5,si,VS,9.73,8.4,10,TRUE,9,0.049,2.574,19.28,13.484,10.91,32.764,,1.429842777,0
250,h2_3,2m,3,b4,si,VS,3.29,4.11,2,TRUE,26,0.066,1.103,3.14,7.533,6.43,10.673,,0.416832603,0
269,h2_3,2m,3,e5,si,VS,18.4,19.5,10,TRUE,53,0.189,3.082,5.98,111.372,108.29,117.352,,0.053693927,0
311,h3_1,3m,1,d5,si,VS,9.37,7.72,15,TRUE,33,0.13,0.819,15.03,4.469,3.65,19.499,,3.363168494,0
313,h3_1,3m,1,e1,si,VS,7.99,8.09,12,FALSE,0,0,1.144,7.56,14.734,13.59,22.294,,0.513098955,0
327,h3_1,3m,1,g3,si,VS,14.9,16.99,16,TRUE,20,0.192,0.169,79.51,97.649,97.48,177.159,,0.814242849,0
341,h3_2,3m,2,a5,si,VS,13.72,18.79,12,TRUE,0,2.767,2.353,66.76,83.253,80.9,150.013,,0.801893025,0
358,h3_2,3m,2,d4,si,VS,14.06,12,6,TRUE,158,2.453,6.834,45,47.084,40.25,92.084,,0.95573868,0
366,h3_2,3m,2,e6,si,VS,11.57,12.41,3,TRUE,0,0.939,4.112,27.18,31.822,27.71,59.002,,0.854126076,0
368,h3_2,3m,2,f2,si,VS,14.83,20.89,8,TRUE,130,1.329,0.349,60.12,78.179,77.83,138.299,,0.769004464,0
388,h3_3,3m,3,a4,si,VS,8.99,8.07,6,TRUE,1,0.001,0.64,9.24,43.63,42.99,52.87,,0.211780885,0
398,h3_3,3m,3,c2,si,VS,5.74,1.37,7,TRUE,6,0.026,0.734,47.34,57.734,57,105.074,,0.819967437,0
407,h3_3,3m,3,d5,si,VS,7.98,6.18,5,TRUE,19,0.372,0.911,6.73,17.391,16.48,24.121,,0.386981772,0
432,h3_3,3m,3,h6,si,VS,22.23,17.56,7,TRUE,144,0.597,2.232,170.33,91.842,89.61,262.172,,1.854598114,0
433,h4_1,4m,1,a1,si,VS,11.66,8.44,3,TRUE,39,0.201,1.588,27.87,47.188,45.6,75.058,,0.590616258,0
448,h4_1,4m,1,c4,si,VS,10.48,11.21,12,TRUE,30,0.224,2.456,34.85,38.376,35.92,73.226,,0.908119658,0
449,h4_1,4m,1,c5,si,VS,17.75,20.02,12,TRUE,7,0.027,2.752,70.84,81.352,78.6,152.192,,0.870783755,0
453,h4_1,4m,1,d3,si,VS,5.19,2.8,3,TRUE,4,0.04,1.374,2.04,6.064,4.69,8.104,,0.336411609,0
482,h4_2,4m,2,a2,si,VS,5.56,4.23,4.23,TRUE,3,0.007,0.624,4,5.834,5.21,9.834,,0.685635927,0
504,h4_2,4m,2,d6,si,VS,9.01,7.04,4,TRUE,29,0.117,0.451,14.55,14.991,14.54,29.541,,0.970582349,0
511,h4_2,4m,2,f1,si,VS,0,0,0,TRUE,39,0.118,1.618,30.79,14.598,12.98,45.388,,2.10919304,0
526,h4_2,4m,2,h4,si,VS,14.21,12.51,21,TRUE,31,0.067,1.702,16.81,32.042,30.34,48.852,,0.524623931,0
533,h4_3,4m,3,a5,si,VS,15.38,15.71,28,TRUE,136,1.28,3.218,55.63,53.368,50.15,108.998,,1.04238495,0
546,h4_3,4m,3,c6,si,VS,4.28,4.23,7,TRUE,11,0.032,0.756,1.96,5.656,4.9,7.616,,0.346534653,0
562,h4_3,4m,3,f4,si,VS,11.71,8.89,18,TRUE,62,0.428,1.232,11.81,22.662,21.43,34.472,,0.521136705,0
578,h4_3,4m,3,i3,si,VS,15.65,22.31,17,TRUE,69,0.242,10.831,102.88,85.571,74.74,188.451,,1.202276472,0
599,h5_1,C,1,d1,si,VS,9.07,11.72,12,TRUE,3,0.004,0.934,26.98,48.054,47.12,75.034,,0.5614517,0
609,h5_1,C,1,e5,si,VS,14.71,15.76,41,TRUE,39,0.135,2.268,90.44,27.348,25.08,117.788,,3.307005997,0
614,h5_1,C,1,f4,si,VS,11.27,12.9,15,TRUE,17,0.072,1.721,21.7,6.001,4.28,27.701,,3.616063989,0
627,h5_1,C,1,h5,si,VS,9.59,3.33,15,TRUE,2,0.001,2.523,43.43,64.813,62.29,108.243,,0.670081619,0
629,h5_2,C,2,a1,si,VS,1.37,0.76,3,FALSE,0,0,0.684,0.99,50.674,49.99,51.664,,0.019536646,0
639,h5_2,C,2,b5,si,VS,21.65,16.45,35,TRUE,10,0.238,4.092,126.1,188.652,184.56,314.752,,0.668426521,0
654,h5_2,C,2,e2,si,VS,2.99,1.98,1,FALSE,5,0.049,0.588,1.4,4.088,3.5,5.488,,0.342465753,0
664,h5_2,C,2,f6,si,VS,7.51,10.23,17,TRUE,26,0.035,3.627,36.49,42.007,38.38,78.497,,0.868664746,0
690,h5_3,C,3,c2,si,VS,11.96,9.29,7,TRUE,37,0.1,5.731,50.72,83.741,78.01,134.461,,0.605677028,0
711,h5_3,C,3,f5,si,VS,25.06,16.69,12,TRUE,30,0.08,1.327,63.37,125.837,124.51,189.207,,0.503587975,0
712,h5_3,C,3,f6,si,VS,11.05,13.87,9,TRUE,17,0.035,1.718,41.78,48.718,47,90.498,,0.857588571,0
298,h3_1,3m,1,b4,ex,VS,6.42,9.09,3,FALSE,0,0,1.649,8.78,28.009,26.36,36.789,,0.31347067,0
